observationKey,season,playerId,playerName,teamName,conference,minutes,bartRole,pbpPlayerId,pbpMatchType,ht_inches,usg_%,TS_%,ORB_%,DRB_%,AST_%,FT_%,FT_rate,TP_%,ast_tov,TOV%,rim_pct_of_total_attempts,rim_%,mid_pct_of_total_attempts,mid_%,threePA_per_100,pct_rim_made_assisted,pct_three_made_assisted,pct_total_made_assisted,blk_%,stl_%,pf_per_40,stops_per_40,A0,A1,A2,A3,A4,A5,A6,A7,primaryArchetype,primaryArchetypeLabel,primaryArchetypeWeight,secondaryArchetype,secondaryArchetypeLabel,secondaryArchetypeWeight,unstableArchetypeFlag,stabilityTier,stabilityNote
133853::2026::Abilene Christian,2026,133853,Isaiah Carrillo,Abilene Christian,WAC,33.6,Pure PG,133853,pid_team,70,12.3,30,0,8.2,10.9,0.0,0,33.300000000000004,2.00000000,0,20.0,0.0,20.0,0.0,9.60512,0.0,100.0,100.0,0,6.6,0,4.518440476190476,0.369083,0.0,0.354517,0.2764,0.0,0.0,0.0,0.0,A0,Perimeter Spacer,0.369083,A2,Low-Production Player,0.354517,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134961::2026::Abilene Christian,2026,134961,Tylan Lewis,Abilene Christian,WAC,107.3784,Wing G,134961,pid_team,72,7.8,11.11,0,9.2,13.6,0.0,0,0.0,1.62504222,28.4,55.55555555555556,20.0,33.33333333333333,0.0,0.738856,100.0,0.0,100.0,1.5,0.7,4.6,3.7223724696959533,0.0,0.054653,0.945347,0.0,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.945347,A1,Connecting Guard,0.054653,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134884::2026::Air Force,2026,134884,Brendan Martin,Air Force,MWC,64.1004,Wing G,134884,pid_team,78,18,50.11,0,9.7,7.7,0.0,9.5,26.700000000000003,1.00000000,10.2,19.047619047619047,75.0,9.523809523809524,100.0,13.8511,66.66666666666666,100.0,77.77777777777779,0,1.9,1.9,5.644975694379442,0.0,0.379191,0.50377,0.0,0.0,0.117039,0.0,0.0,A2,Low-Production Player,0.50377,A1,Connecting Guard,0.379191,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
135089::2026::Air Force,2026,135089,Chris Catchings,Air Force,MWC,10.5,Pure PG,135089,pid_team,76,25.3,0,11.6,11.9,70.1,0.0,0,0.0,4.00000000,22.2,33.33333333333333,0.0,0.0,0.0,11.5426,0.0,0.0,0.0,0,5.7,7.6,8.628761904761905,0.0,0.938739,0.061261,0.0,0.0,0.0,0.0,0.0,A1,Connecting Guard,0.938739,A2,Low-Production Player,0.061261,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
126734::2026::Air Force,2026,126734,Elliott Taite,Air Force,MWC,20.9004,Pure PG,126734,pid_team,75,30.7,66.79,0,11.9,45.8,0.0,7.7,57.099999999999994,2.00120050,9.2,38.46153846153847,60.0,7.6923076923076925,0.0,20.1995,33.33333333333333,75.0,57.14285714285714,0,0,0,4.558151997090964,0.039902,0.528441,0.088541,0.0,0.116572,0.226544,0.0,0.0,A1,Connecting Guard,0.528441,A5,Efficient Play Finisher,0.226544,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
79433::2026::Air Force,2026,79433,Josh Gatete,Air Force,MWC,64.0995,Scoring PG,79433,pid_team,81,17.4,25.16,1.9,9.7,14.8,50.0,28.6,25.0,0.45452067,58.4,28.57142857142857,0.0,14.285714285714285,0.0,3.69363,0.0,100.0,100.0,5.3,2.8,3.7,7.181210461860078,0.0,0.0,0.470457,0.529543,0.0,0.0,0.0,0.0,A3,Two-Way Guard,0.529543,A2,Low-Production Player,0.470457,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
126568::2026::Air Force,2026,126568,Kyle Marshall,Air Force,MWC,65.5,PF/C,126568,pid_team,76,17.4,37.99,9.3,11.4,28,0.0,17.6,0.0,8.00000000,5.2,73.68421052631578,50.0,5.263157894736842,0.0,1.8106,28.57142857142857,0.0,37.5,1.7,1.8,3.1,6.1102290076335875,0.0,0.0,0.274189,0.068981,0.0,0.0,0.0,0.65683,A7,Traditional Big,0.65683,A2,Low-Production Player,0.274189,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134890::2026::Air Force,2026,134890,Sam Imade,Air Force,MWC,33.5,Wing G,134890,pid_team,78,13.8,40,0,3.7,0,0.0,0,50.0,0.00000000,0,30.0,33.33,30.0,0.0,7.10313,100.0,100.0,100.0,0,0,0,3.7139223880597014,0.395447,0.0,0.165508,0.0,0.0,0.439044,0.0,0.0,A5,Efficient Play Finisher,0.439044,A0,Perimeter Spacer,0.395447,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
127212::2026::Akron,2026,127212,Conner Groce,Akron,MAC,22.1694,Wing G,127212,pid_team,72,21.8,33.52,7,0,0,50.0,25,25.0,0.84589999,0,37.5,33.33,12.5,0.0,13.1585,100.0,100.0,100.0,0,0,6.9,3.227096809115267,0.669016,0.211141,0.030498,0.0,0.0,0.089345,0.0,0.0,A0,Perimeter Spacer,0.669016,A1,Connecting Guard,0.211141,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
76774::2026::Akron,2026,76774,Halil Barre,Akron,MAC,110.7839,C,76774,pid_team,81,20.7,75.65,9.1,22.7,1.4,77.4,182.4,0.0,0.18180331,28.3,62.5,80.0,8.333333333333332,0.0,0,91.66666666666666,0.0,94.44444444444444,9.9,1.1,7.6,8.94949536891191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,A7,Traditional Big,1.0,A0,Perimeter Spacer,0.0,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
