Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Mykell Lawson,Alfred State,Allegheny Mountain Collegiate,G,72.0,Jr.,26,840,32.3,5.9,18.0,0.326,2.5,9.0,0.274,3.0,4.1,0.729,447,17.2,26,86,112,4.3,52,65,91,39,5,2.5,1.5,3.3076923076923075,1.0,0.1923076923076923,3.5,0.3972222222222222,0.5,0.7142857142857143,0.2277777777777777,0.4342557059179964,0.1319095238095238,21.285714285714285,5.333333333333333,3.0952380952380953,1.8571428571428572,0.238095238095238,4.333333333333334,0.2960707325894783,1.0024960408155437,0.42750151715954465,0.40834642305197677
"Darius Cunningham, Jr.",Alfred State,Allegheny Mountain Collegiate,G,75.0,So,26,845,32.5,5.5,15.3,0.356,1.7,6.2,0.269,3.1,5.1,0.602,408,15.7,34,99,133,5.1,39,52,88,34,10,2.0,1.3076923076923077,3.807692307692307,1.3076923076923077,0.3846153846153846,3.3846153846153846,0.415032679738562,0.4052287581699346,0.5909090909090909,0.3333333333333333,0.4474464204286365,0.1249041420118343,19.31360946745562,6.295857988165681,2.4615384615384617,1.6094674556213018,0.4733727810650887,4.165680473372781,1.1856580875601728,0.21942455921424345,0.09507820383427242,0.3162930966926373
Kenny Hardeman,Alfred State,Allegheny Mountain Collegiate,G,77.0,Sr,14,437,31.2,6.1,12.5,0.486,0.0,0.1,0.0,1.2,2.9,0.425,188,13.4,74,106,181,12.9,22,11,27,24,13,0.7857142857142857,1.7142857142857142,7.571428571428571,5.285714285714286,0.9285714285714286,1.9285714285714288,0.488,0.008,0.4074074074074074,0.2319999999999999,0.4863530778164924,0.0933089244851258,17.208237986270024,16.5675057208238,1.0068649885583525,2.196796338672769,1.1899313501144166,2.471395881006865,6.29293455833208,-0.07165280042492604,-1.6716021511078645,-0.5434432137545736
Elijah Kioko,Alfred State,Allegheny Mountain Collegiate,F,78.0,Sr,25,393,15.7,2.4,5.0,0.484,0.3,0.6,0.467,1.2,1.9,0.638,160,6.4,50,58,108,4.3,48,5,25,5,8,0.2,0.2,2.32,2.0,0.32,1.0,0.51,0.12,0.2,0.38,0.5483207676490747,0.0784631043256997,16.28498727735369,10.99236641221374,0.5089058524173028,0.5089058524173028,0.8142493638676845,2.544529262086514,2.0772875895590457,-1.5497283443005252,0.15205848199946484,-0.15722026407747203
Ben Sneddon,Alfred State,Allegheny Mountain Collegiate,G,75.0,So,25,453,18.1,2.3,5.5,0.416,0.8,2.7,0.294,0.7,1.3,0.515,150,6.0,50,65,113,4.5,43,20,15,15,5,0.8,0.6,2.6,2.0,0.2,0.6,0.4909090909090908,0.4909090909090909,1.3333333333333333,0.2363636363636363,0.4940711462450592,0.0465165562913907,13.245033112582782,9.97792494481236,1.7660044150110377,1.3245033112582782,0.4415011037527594,1.3245033112582782,1.1261204546970094,0.3714973614947573,-0.4493533517530199,-1.0569937733699195
Eli Taft,Alfred State,Allegheny Mountain Collegiate,G,72.0,Jr.,26,559,21.5,2.2,5.6,0.393,0.6,2.2,0.263,0.5,1.0,0.519,143,5.5,13,29,44,1.7,26,47,21,8,0,1.8076923076923077,0.3076923076923077,1.1153846153846154,0.5,0.0,0.8076923076923077,0.4464285714285714,0.3928571428571429,2.238095238095238,0.1785714285714285,0.4552980132450331,0.0483720930232558,10.232558139534884,3.148479427549195,3.363148479427549,0.5724508050089445,0.0,1.5026833631484795,-0.9558586313179864,1.3058680162608782,-0.714553064099485,-0.834682476329943
J.J. Howard,Alfred State,Allegheny Mountain Collegiate,F,78.0,Fr,26,460,17.7,1.7,3.0,0.571,0.0,0.1,0.0,0.7,1.6,0.452,107,4.1,36,42,78,3.0,57,18,21,8,18,0.6923076923076923,0.3076923076923077,1.6153846153846154,1.3846153846153846,0.6923076923076923,0.8076923076923077,0.5666666666666667,0.0333333333333333,0.8571428571428571,0.5333333333333333,0.5534557235421166,0.0537043478260869,9.304347826086955,6.782608695652174,1.565217391304348,0.6956521739130435,1.565217391304348,1.8260869565217392,1.5185067404104653,-1.2801126170531834,-0.7049183524416176,0.030952321419466616
Joseph Bauer,Alfred State,Allegheny Mountain Collegiate,G,74.0,Jr.,25,240,9.6,0.8,2.3,0.333,0.1,0.6,0.133,0.6,1.0,0.6,55,2.2,20,40,60,2.4,18,10,15,5,5,0.4,0.2,1.6,0.8,0.2,0.6,0.3695652173913044,0.2608695652173913,0.6666666666666666,0.4347826086956522,0.4014598540145986,0.0739166666666666,9.166666666666666,10.0,1.6666666666666663,0.8333333333333333,0.8333333333333333,2.5,-0.15669228305739583,-0.7202283950508238,-0.5353446779922771,0.1791356645119924
Avery Cunningham,Alfred State,Allegheny Mountain Collegiate,G,72.0,Sr,26,614,23.6,0.8,2.4,0.349,0.1,0.8,0.143,0.3,0.6,0.533,55,2.1,21,75,96,3.7,36,57,36,16,3,2.1923076923076925,0.6153846153846154,2.8846153846153846,0.8076923076923077,0.1153846153846153,1.3846153846153846,0.3541666666666667,0.3333333333333333,1.5833333333333333,0.25,0.3941441441441442,0.0629706840390879,3.583061889250814,6.254071661237784,3.7133550488599343,1.0423452768729642,0.1954397394136807,2.3452768729641695,-0.4033185058705961,1.0009369953088525,-1.5555968856822153,-0.2724995299613251
Hunter Streb,Alfred State,Allegheny Mountain Collegiate,F,76.0,Fr,17,121,7.1,0.7,1.6,0.444,0.1,0.3,0.2,0.5,0.8,0.643,34,2.0,9,14,22,1.3,10,2,5,2,3,0.1176470588235294,0.1176470588235294,0.8235294117647058,0.5294117647058824,0.1764705882352941,0.2941176470588235,0.46875,0.1874999999999999,0.4,0.5,0.5122950819672131,0.0574545454545454,11.239669421487603,7.272727272727273,0.6611570247933884,0.6611570247933884,0.9917355371900828,1.6528925619834711,0.014585541417358997,-1.5151599291320408,0.2078505343842942,0.03905374455757496
Cole Kaufman,Alfred State,Allegheny Mountain Collegiate,G,72.0,Fr,15,53,3.5,0.5,1.3,0.35,0.2,0.7,0.273,0.5,0.8,0.667,26,1.7,5,2,6,0.4,3,2,2,2,0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.3333333333333333,0.0,0.1333333333333333,0.4615384615384615,0.5384615384615384,1.0,0.6153846153846154,0.5145278450363195,0.0689056603773585,19.62264150943396,4.528301886792453,1.5094339622641508,1.5094339622641508,0.0,1.5094339622641508,-1.0977092306950844,0.3645385862687754,1.2344199692640672,0.06433551314558661
