season_player_id,year,player_name,team,conf,GP,mins_per_game,3P_pct,3P_per_100_team_pos,AST_TOV,AST_pct,Blk_pct,DRB_pct,FTR,ORB_pct,Stl_pct,TOV_pct,assisted_fg_pct,height_inches,personal_fouls_per_40,rim_assisted_pct,rim_pct,rim_share,stops_per_40,three_assisted_pct,three_share,usg,3P_pct_z,3P_per_100_team_pos_z,AST_TOV_z,AST_pct_z,Blk_pct_z,DRB_pct_z,FTR_z,ORB_pct_z,Stl_pct_z,TOV_pct_z,assisted_fg_pct_z,height_inches_z,personal_fouls_per_40_z,rim_assisted_pct_z,rim_pct_z,rim_share_z,stops_per_40_z,three_assisted_pct_z,three_share_z,usg_z,workload_score,shot_style_score,spacing_score,rim_finishing_score,rebounding_score,defense_score,ballhandling_score,height_score,workload_grade,shot_style_grade,spacing_grade,rim_finishing_grade,rebounding_grade,defense_grade,ballhandling_grade,height_grade
2026::antwann jones::unc greensboro,2026,Antwann Jones,UNC Greensboro,SC,6,11.4857,0.333,5.8505,0.50005835,6.2,2.1,18.0,12.5,7.8,2.0,25.7,0.5,78.0,4.1,0.5,0.4,0.3125,6.304303031886027,0.5,0.375,19.2,0.408019083237869,-0.09162170716307369,-0.9229772631642202,-0.7320245364829246,0.022677121514091406,1.0885777350779042,-1.0880751309579864,0.6180957300948128,0.18355884245557563,-1.3593640471512776,-0.6636931393503197,0.0982183410219712,-0.12875916931762743,0.17531290361496032,-1.2467423956795056,-0.458925969466152,-0.3228247536313126,-2.3300971335362934,-0.02960176533581349,0.1340349063744655,-0.20709331337964265,-0.6608279911808246,0.408019083237869,-1.167408763318746,0.8533367325863586,-0.06133698974481824,-1.004788615599474,0.0982183410219712,36.45452328700317,8.80273104120946,61.28992928554011,4.1453304072177515,82.07754206291149,46.793465008534504,5.4864667154352595,52.67008046817849
2026::elijah elliott::new mexico st.,2026,Elijah Elliott,New Mexico St.,CUSA,29,18.6323,0.318,11.8498,1.73166481,25.8,1.1,10.0,36.7,1.8,2.2,14.9,0.3333333333333333,73.0,3.1,0.0625,0.4706,0.15384615384615385,6.554846265300875,0.45714285714285713,0.497737556561086,26.7,0.30553366472881843,1.2654122437612074,0.550710543041642,1.9103843299225052,-0.395483289139187,-0.5914434489618678,0.011360576415666285,-0.9629165192178439,0.4017228224324821,0.33411715635587846,-1.558206983601051,-1.4092420501872436,0.5029448064828168,-1.6691783966340024,-0.737760704112018,-1.1685144072766318,-0.09809074183510492,-2.59743341469535,0.4719951574533343,1.6340271319648556,0.4470774640416706,-1.2407827652881624,0.30553366472881843,-0.3632000638481759,-0.7771799840898559,0.10277339948525174,0.9317373431066752,-1.4092420501872436,78.27359180687637,0.7802974884174592,53.877103145574246,27.249451353328457,21.445988783223605,59.5220677883443,91.61180199951231,8.814923189465985
2026::doctor bradley::bethune cookman,2026,Doctor Bradley,Bethune Cookman,SWAC,8,22.0375,0.286,2.23708,1.375,28.0,5.1,29.3,65.7,8.7,3.2,17.0,0.48717948717948717,80.0,3.9,0.4594594594594595,0.6275,0.7611940298507462,10.543369256948383,1.0,0.1044776119402985,30.0,0.08689810524284398,-0.9089726679332996,0.1239406303540042,2.2069812434986247,1.2771583534739266,3.461607657534082,1.3288661761609524,0.8552475674917113,1.4925427223170136,0.004829144562820382,-0.732501896600376,0.7012024975056571,-0.00241837415753868,0.004394790850577775,0.3933898257313074,1.5478838458341333,3.479562347562743,0.7888261466527,-1.1351574012652612,2.2940237112246273,0.21751638223031722,0.30148684551803745,0.08689810524284398,0.8611280009461298,2.158427612512897,1.5617112622990361,0.7785836728051497,0.7012024975056571,64.4964642770056,73.7381126554499,40.697390880273105,90.70958302852962,98.3418678371129,99.463545476713,88.68568641794684,73.34796391124117
2026::rahmir moore::delaware st.,2026,Rahmir Moore,Delaware St.,MEAC,22,21.3038,0.298,7.25452,1.16006237,10.5,0.5,10.8,51.8,5.3,1.4,16.6,0.5,74.0,2.6,0.058823529411764705,0.5161,0.2719298245614035,5.631082461600961,0.9411764705882353,0.5,18.4,0.1688864400500844,0.2259658126770259,-0.1332445783252256,-0.152312387220509,-0.6463795355311541,-0.42344133055789046,0.6973721128347632,-0.04065937378546084,-0.4709330974751433,0.06755067061864076,-0.6636931393503197,-1.1077499719454007,0.8187967943830391,-1.6846783235268508,-0.40973425982985545,-0.6403784089062587,-0.926694822368629,0.4218939960422301,0.48124118367986235,-0.025964264355176257,-0.15456386367615668,-0.3554803881777543,0.1688864400500844,0.14381892650245387,-0.23205035217167566,-0.30630266524797184,-0.07266876497569795,-1.1077499719454007,39.965861984881734,19.99512314069739,44.928066325286515,60.1072909046574,46.59839063643014,27.115337722506705,47.622531089978054,14.496464277005607
2026::alex hemenway::evansville,2026,Alex Hemenway,Evansville,MVC,30,25.8969,0.303,11.5599,1.42101717,6.3,0.5,7.7,17.1,1.2,0.9,9.9,0.8771929824561403,76.0,2.5,0.7,0.4091,0.11398963730569948,5.2960779089389085,0.9148936170212766,0.8031088082901554,14.3,0.20304824621976791,1.1998372362815102,0.17900281499462575,-0.7185428585931011,-0.6463795355311541,-1.0744495393733022,-0.8790914841018375,-1.1210177441491096,-1.0163430474174089,1.1181362320536359,1.3607329292171244,-0.5047658154617147,0.8819671919630836,1.0185089265859144,-1.1811371068230732,-1.3467749663120798,-1.2271895356506175,0.25794558832265846,1.7199691636764234,-0.8459600143445891,0.5715367170513485,0.4124121780682291,0.20304824621976791,-1.0301142954624554,-1.0977336417612058,-0.5019862316590242,0.1928653961517202,-0.5047658154617147,83.66252133625946,84.12582297000732,47.03730797366496,6.071689831748354,7.510363326018045,14.72811509387954,64.86222872470128,32.06534991465496
2026::addison patterson::eastern michigan,2026,Addison Patterson,Eastern Michigan,MAC,30,29.7258,0.286,4.54603,1.14085497,18.9,1.2,14.7,21.8,5.1,2.2,19.7,0.5029585798816568,79.0,3.6,0.47651006711409394,0.7118,0.551948051948052,7.28480534305777,0.7,0.22727272727272727,23.5,0.08689810524284398,-0.3866911449245121,-0.15622733465870442,0.980148555524675,-0.35366724807385924,0.3955689966614981,-0.6655647144879463,-0.09335978209588278,0.4017228224324821,-0.41854115631396854,-0.6478141953695374,0.3997104192638142,0.18709281858259458,0.07627981366870719,1.0011399192035344,0.6120191934630848,0.5566730278961638,-1.0825278214606964,-0.6333252505361577,0.9940304490462893,-0.01349163041592009,-0.2568885162162655,0.08689810524284398,0.16778760235779405,0.15110460728280767,0.19795535520934532,0.13512668818400067,0.3997104192638142,49.76834918312606,25.115825408436965,40.697390880273105,61.71665447451841,61.350890026822725,66.81297244574495,61.44842721287491,62.8871007071446
2026::rienk mast::nebraska,2026,Rienk Mast,Nebraska,B10,34,29.1941,0.311,9.77104,1.84205199,20.8,1.4,13.5,20.7,9.4,0.8,13.4,0.752,82.0,2.4,0.6133333333333333,0.6759,0.28272251308900526,6.519407527346884,0.96,0.4214659685863874,25.8,0.25770713609126156,0.7951994029592206,0.6827951385766896,1.236300435431324,-0.2700351659432036,0.14356581905553242,-0.7155390648231124,1.0396989965781882,-1.1254250374058619,0.5693228790652057,0.6888117931567859,1.304186653989343,0.9451375895431281,0.653123983298501,0.7423234499787068,-0.5921074896834766,-0.12987882744749016,0.5393122842375803,0.1602927340365057,1.4540280648940092,0.9793464203366719,0.19015537797227758,0.25770713609126156,0.013392192577797224,0.5916324078168603,-0.14505036031335689,0.8294728176910731,1.304186653989343,95.63521092416484,61.98488173616191,50.49987807851743,52.0848573518654,74.98171177761522,39.38063886856864,89.6854425749817,90.68519873201659
2026::rick issanza::loyola marymount,2026,Rick Issanza,Loyola Marymount,WCC,29,16.25,0.0,0.123106,0.42112742,2.9,9.6,14.5,65.3,9.5,1.1,22.9,0.8571428571428571,85.0,5.0,0.8571428571428571,0.7368,0.7755102040816326,7.888585676392573,,0.02040816326530612,10.2,-1.867157207663051,-1.3871508702854418,-1.017422650429799,-1.1769199068471041,3.1588802014136794,0.35356846706050393,1.3106936851299826,1.066049200733399,-0.7981790674405025,-0.9203133647605333,1.2531222411869611,2.208662888714872,-0.6972927475380277,1.6810200874916643,1.1813742292486789,1.6119137572052484,1.0982561100036228,0.0,-1.478727681931302,-1.6659557643340026,-0.5999947978108279,0.4535515406914027,-1.867157207663051,1.2460339571893306,0.7098088338969515,0.6904161241096931,-1.0382186406791456,2.208662888714872,14.094123384540355,86.85686417946842,7.510363326018045,96.3667398195562,77.83467446964156,90.97781029017314,5.09631797122653,99.17093391855644
2026::steele venters::gonzaga,2026,Steele Venters,Gonzaga,WCC,27,15.063,0.367,13.7356,1.64707745,10.0,0.6,7.9,10.5,1.4,2.4,15.7,0.8181818181818182,79.0,3.3,0.25,0.75,0.07017543859649122,6.985938072441425,0.9444444444444444,0.8596491228070176,15.2,0.6403193651917165,1.691977780515997,0.44949691268187153,-0.2197207766696271,-0.6045634944658262,-1.0324490097723078,-1.1789375861128335,-1.0683173358386877,0.6198868024093881,0.20867410424423743,1.044015108764713,0.3997104192638142,0.3766040113227281,-0.8786821250987327,1.2765379449525152,-1.5427364861219248,0.2885929851636522,0.44227911552058946,1.951034931724965,-0.6659609472737426,0.6900106473356559,-0.007026140993775798,0.6403193651917165,0.04880017941984083,-1.0503831728054978,0.17013007610748554,0.14615008008549393,0.3997104192638142,88.00292611558157,43.50158497927335,77.10314557425019,54.30382833455255,9.326993416239942,64.76469153864912,62.20434040477932,62.8871007071446
2026::micah thomas::northwestern st.,2026,Micah Thomas,Northwestern St.,Slnd,30,30.2031,0.362,8.4363,1.17810805,22.5,0.5,6.6,35.6,1.2,1.5,16.1,0.41975308641975306,72.0,2.4,0.17142857142857143,0.4375,0.2035623409669211,5.2922161411687325,0.6086956521739131,0.3231552162849873,30.2,0.6061575590220329,0.4932829300946072,-0.11165188663806663,1.4654889595583256,-0.6463795355311541,-1.305452452178771,-0.0386137739194998,-1.1210177441491096,-0.36185110748669,0.1459525781884165,-1.0943849902858571,-1.7107341284290865,0.9451375895431281,-1.2099377055516076,-0.9763909306117893,-0.9461559053673259,-1.2306534909599989,-1.6520703334952076,-0.24147810296826938,2.3340235039070376,0.5776404812385959,-1.0124105118456026,0.6061575590220329,-0.5075023522656446,-1.2132350981639402,-0.3234366361086787,0.4999298837028918,-1.7107341284290865,83.93074859790295,2.121433796634967,75.06705681541087,20.11704462326262,3.9258717386003417,25.87173860034138,80.00487685930261,4.79151426481346
2026::rashaun agee::texas a&m,2026,Rashaun Agee,Texas A&M,SEC,34,26.7765,0.264,5.28309,1.77778614,16.7,3.4,24.8,55.5,10.5,2.0,10.9,0.7245508982035929,79.0,3.6,0.6805555555555556,0.6181,0.5870206489675516,9.008953197547015,1.0,0.25663716814159293,25.1,-0.06341384190376308,-0.21996912004356764,0.6058973610995763,0.6835516419485554,0.5662856553633533,2.5165957415117104,0.8654676548712309,1.3295512422855085,0.18355884245557563,0.9613324169140844,0.5414901837419831,0.3997104192638142,0.18709281858259458,0.9365315354637387,0.32562172515433335,0.7688833977187464,2.103211160209696,0.7888261466527,-0.5133203099789756,1.3140287905055728,0.5451832847346627,0.49523019246405237,-0.06341384190376308,0.5955446900127821,1.9230734918986094,0.7600371191528049,0.7502604733207386,0.3997104192638142,82.44330651060717,89.4172153133382,34.77200682760302,83.66252133625946,97.07388441843453,92.58717386003413,87.78346744696415,62.8871007071446
2026::tyler cochran::rhode island,2026,Tyler Cochran,Rhode Island,A10,32,30.8719,0.335,9.97259,0.86565094,13.8,0.8,19.2,42.4,5.3,5.2,15.4,0.45652173913043476,74.0,3.5,0.20481927710843373,0.5497,0.4026666666666667,9.28206556771692,0.8363636363636363,0.43733333333333335,26.4,0.4216838057057424,0.8407897539683034,-0.48552474937810447,0.2925829831436706,-0.5209314123351706,1.3405809126838697,0.2703185736069809,-0.04065937378546084,3.6741825220860758,0.25571524878610274,-0.8970445769809453,-1.1077499719454007,0.2502632161626391,-1.0691631543843398,-0.16749934712918169,-0.05565037487050709,2.3481893932391427,-0.23191238140915274,0.2251385852400036,1.57402744294124,0.5059242066428659,-0.282896831355999,0.4216838057057424,0.051409613238899615,0.6499607694492044,1.4379259297881717,0.020924494183889624,-1.1077499719454007,80.83394294074616,23.750304803706413,63.38697878566203,54.425749817117776,76.54230675445012,99.04901243599123,53.9624481833699,14.496464277005607
