player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10.0,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,1.1195,109.207,3.1,"Houston, TX",,1.73166481,16.0,34.0,24.0,77.0,0.4706,0.3117,0.0,0.0,,109.822,110.363,1.54182,88.5456,-0.981098,0.35128,-1.33238,0.0392542,18.6323,0.695536,-0.656281,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,73,221.0,0.15384615384615385,0.34841628959276016,0.497737556561086,0.0,-2.3587618811073434,1.7040600791783225,1.1003099808285417,-1.1252070928492524
Rahmir Moore,Delaware St.,MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,-0.0950887,90.7512,2.6,"Philadelphia, PA",,1.16006237,16.0,31.0,8.0,26.0,0.5161,0.3077,1.0,1.0,1.0,110.862,118.595,1.15123,65.9799,-4.98363,-2.998,-1.98563,-4.64551,21.3038,-2.52566,-2.11984,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,Wing G,7.25452,74,114.0,0.2719298245614035,0.22807017543859648,0.5,0.03225806451612903,-0.48446569405239936,-0.5193175021168783,0.01517233161540393,-2.8571154679185895
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,-0.337019,88.3376,2.5,"Newburgh, IN",24.0,1.42101717,9.0,22.0,4.0,16.0,0.4091,0.25,1.0,1.0,1.0,120.301,118.848,1.38691,102.864,-4.39683,-1.48228,-2.91455,-4.98098,25.8969,-2.75073,-2.23025,0.3125,1.625,1.9375,0.8438,0.375,0.0938,6.7188,Combo G,11.5599,76,193.0,0.11398963730569948,0.08290155440414508,0.8031088082901554,0.045454545454545456,-2.8951505779887143,-2.344676497744502,-0.3984939024469561,-3.0946217804998417
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,2.19856,113.206,3.6,"Mississauga, Canada",,1.14085497,121.0,170.0,31.0,68.0,0.7118,0.4559,28.0,30.0,0.9333,107.198,107.071,2.79799,162.41,1.95295,0.878106,1.07484,2.19741,29.7258,1.30992,0.887492,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,79,308.0,0.551948051948052,0.22077922077922077,0.22727272727272727,0.17647058823529413,0.3629361566633571,1.098637399160229,0.537510037660389,1.4680650816194625
Rienk Mast,Nebraska,B10,31,69.4,112.4,25.9,51.7,55.04,9.3,13.7,19.9,13.9,63,77,0.818,108,200,0.54,47,145,0.324,1.2,0.9,22.3,Sr,3.26378,124.845,2.4,"Groningen, Netherlands",,1.66668578,64.0,93.0,44.0,107.0,0.6882,0.4112,2.0,2.0,1.0,101.472,95.0354,3.87749,147.763,5.26999,2.93722,2.33277,4.78829,28.8903,3.20415,1.58414,2.2258,3.5484,5.7742,2.9032,0.4194,0.2581,13.5484,Stretch 4,9.69102,82,345.0,0.26956521739130435,0.3101449275362319,0.42028985507246375,0.021505376344086023,-0.7211863052634326,0.2996463526105803,1.213018393938623,2.423229780089266
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0.0,9.6,1.1,65.3,Sr,0.0108865,92.2193,5.0,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28.0,38.0,4.0,10.0,0.7368,0.4,21.0,24.0,0.875,103.341,101.653,1.81975,92.9374,2.62924,-2.99564,5.62488,0.193241,16.25,-3.25781,3.45105,1.3,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,85,49.0,0.7755102040816326,0.20408163265306123,0.02040816326530612,0.631578947368421,4.696119674699192,-1.7303667866942785,-1.4078849360473653,0.4547294326028864
Steele Venters,Gonzaga,WCC,27,30.7,113.2,15.1,54.4,55.97,1.4,7.9,9.9,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,0.834419,108.064,3.3,"Ellensburg, WA",,1.64707745,6.0,8.0,2.0,8.0,0.75,0.25,2.0,2.0,1.0,97.304,94.0168,2.08157,71.397,3.86078,1.80433,2.05646,3.1689,15.063,0.448532,2.72037,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.6503,79,114.0,0.07017543859649122,0.07017543859649122,0.8596491228070176,0.25,-3.603628549106326,-1.4089035612190213,-0.3181217908336839,1.253313033290538
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,2.46151,115.231,2.4,"Oklahoma City, OK",,1.17810805,35.0,80.0,81.0,186.0,0.4375,0.4355,0.0,0.0,,115.665,117.906,1.70995,119.881,-3.81748,-0.290159,-3.52732,-1.05266,30.2031,1.31417,-2.36682,0.3125,1.6562,1.9688,2.6875,0.9062,0.125,16.75,Scoring PG,8.4363,72,393.0,0.2035623409669211,0.4732824427480916,0.3231552162849873,0.0,-1.7449530471416388,1.5604695572953862,1.5148829059390214,-0.8183384761827165
Rashaun Agee,Texas A&M,SEC,32,65.4,121.9,25.1,52.0,57.69,10.7,25.2,16.7,10.9,135,180,0.75,137,242,0.566,20,79,0.253,3.5,2.0,56.1,Sr,3.68996,132.668,3.5,"Chicago, IL",,1.79059386,117.0,191.0,20.0,51.0,0.6126,0.3922,20.0,21.0,0.9524,102.255,95.7892,3.47158,195.55,8.37234,4.32569,4.04665,8.33601,26.7781,5.67875,2.65726,2.6562,6.2188,8.875,2.4062,0.9688,0.8438,14.6562,PF/C,5.04905,79,321.0,0.5950155763239875,0.1588785046728972,0.24610591900311526,0.1099476439790576,2.419404109544234,1.4037665755436428,1.0281066864458233,3.986881841188556
Tyler Cochran,Rhode Island,A10,32,76.6,106.9,26.4,50.3,54.6,5.3,19.2,13.8,15.4,115,159,0.723,106,211,0.502,55,164,0.335,0.8,5.2,42.4,Sr,2.48932,115.445,3.5,"Bolingbrook, IL",,0.86565094,83.0,151.0,23.0,60.0,0.5497,0.3833,0.0,0.0,,95.2144,95.2397,4.12275,229.244,4.65161,1.48345,3.16815,6.21882,30.8719,2.53834,3.68048,1.375,4.8125,6.1875,1.8125,2.6562,0.1875,15.375,Wing G,9.97259,74,375.0,0.4026666666666667,0.16,0.43733333333333335,0.0,-0.1950437977385696,2.075238227279974,1.8864703797723241,3.1150404825144746
