player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1,pbp_join_method,pbp_join_warning,pbp_pid,pbp_player_name,pbp_team,pbp_rim_made,pbp_rim_missed,pbp_rim_assisted,pbp_mid_made,pbp_mid_missed,pbp_mid_assisted,pbp_three_made,pbp_three_missed,pbp_three_assisted,pbp_dunk_made,pbp_dunk_missed,pbp_dunk_assisted
Antwann Jones,UNC Greensboro,SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18.0,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2.0,12.5,Sr,-0.645403,73.0593,4.1,"Orlando, FL",79.0,0.50005835,2.0,5.0,1.0,5.0,0.4,0.2,0.0,0.0,,115.683,115.384,0.634547,10.8614,-8.98565,-7.19305,-1.7926,-8.81733,11.4857,-5.76757,-3.04976,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.8505,78,16.0,0.3125,0.3125,0.375,0.0,-0.31002172122264277,1.1113313316420335,-0.07553624288203059,-0.24911731976738735,pid,,65925.0,Antwann Jones,UNC Greensboro,2,3,1,1,4,1,2,4,1,0,0,0
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10.0,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,1.09502,109.173,3.1,"Houston, TX",,1.73166481,16.0,34.0,24.0,77.0,0.4706,0.3117,0.0,0.0,,109.822,110.397,1.56191,88.5456,-0.973155,0.337965,-1.31112,0.0378349,18.6323,0.653541,-0.615706,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,73,221.0,0.15384615384615385,0.34841628959276016,0.497737556561086,0.0,-0.8022787681342617,-1.572743395368272,-0.18750411607181783,0.6411802642427235,pid,,67572.0,Elijah Elliott,New Mexico St.,16,18,1,24,53,3,35,75,16,0,0,0
Doctor Bradley,Bethune Cookman,SWAC,8,14.0,103.4,30.0,55.2,54.04,8.7,29.3,28.0,17.0,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,1.25108,108.984,3.9,"Los Angeles, CA",,1.375,32.0,51.0,2.0,9.0,0.6275,0.2222,5.0,7.0,0.7143,97.5289,106.165,2.1235,46.4699,5.48102,0.787929,4.69309,5.69559,22.0375,1.75002,3.94557,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23708,80,67.0,0.7611940298507462,0.13432835820895522,0.1044776119402985,0.13725490196078433,3.539470805003589,-1.0685683994490243,-1.4785548065007825,0.7435811479105597,pid,,70326.0,Doctor Bradley,Bethune Cookman,32,19,12,2,7,0,2,5,2,5,2,5
Rahmir Moore,Delaware St.,MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,-0.103736,90.9776,2.6,"Philadelphia, PA",,1.16006237,16.0,31.0,8.0,26.0,0.5161,0.3077,1.0,1.0,1.0,110.862,118.377,1.19307,65.9799,-4.84786,-2.95078,-1.89708,-4.54529,21.3038,-2.51058,-2.03471,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,Wing G,7.25452,74,114.0,0.2719298245614035,0.22807017543859648,0.5,0.03225806451612903,-0.10664454001552921,-0.09966316065769706,0.4960041169916721,0.858722054458451,pid,,70501.0,Rahmir Moore,Delaware St.,16,15,1,8,18,2,17,40,16,1,0,0
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,-0.383245,88.174,2.5,"Newburgh, IN",24.0,1.42101717,9.0,22.0,4.0,16.0,0.4091,0.25,1.0,1.0,1.0,120.301,118.954,1.40848,102.864,-4.47401,-1.50778,-2.96623,-5.04654,25.8969,-2.81935,-2.22718,0.3125,1.625,1.9375,0.8438,0.375,0.0938,6.7188,Combo G,11.5599,76,193.0,0.11398963730569948,0.08290155440414508,0.8031088082901554,0.045454545454545456,-1.0905530147583624,0.130736814591061,1.4365578659227296,0.9029865946294978,pid,,70621.0,Alex Hemenway,Evansville,9,13,6,4,12,1,47,108,43,1,0,1
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,2.1575,113.153,3.6,"Mississauga, Canada",,1.14085497,121.0,170.0,31.0,68.0,0.7118,0.4559,28.0,30.0,0.9333,107.198,107.119,2.82855,162.41,1.91902,0.858959,1.06006,2.17299,29.7258,1.26448,0.908504,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,79,308.0,0.551948051948052,0.22077922077922077,0.22727272727272727,0.17647058823529413,1.9400668152037535,-0.7370946372344375,-0.3199678432511818,-0.09055623140063136,pid,,70754.0,Addison Patterson,Eastern Michigan,121,49,52,31,37,6,20,50,14,28,2,19
Rienk Mast,Nebraska,B10,34,70.4,112.5,25.8,50.8,53.99,9.4,13.5,20.8,13.4,65,79,0.823,119,221,0.538,50,161,0.311,1.4,0.8,20.7,Sr,3.27974,124.982,2.4,"Groningen, Netherlands",,1.84205199,73.0,108.0,46.0,113.0,0.6759,0.4071,2.0,2.0,1.0,102.213,95.4577,3.91299,161.779,5.41459,3.08048,2.33411,4.758,29.1941,3.12829,1.62972,2.2647,3.5,5.7647,3.0882,0.4118,0.2941,13.3235,Stretch 4,9.77104,82,382.0,0.28272251308900526,0.29581151832460734,0.4214659685863874,0.018518518518518517,2.4202670735579064,-0.8261462201544797,-0.072340271062047,0.9592682637067718,pid,,70772.0,Rienk Mast,Nebraska,73,35,44,46,67,17,50,111,48,2,0,2
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0.0,9.6,1.1,65.3,Sr,-0.0220359,91.9763,5.0,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28.0,38.0,4.0,10.0,0.7368,0.4,21.0,24.0,0.875,103.341,101.927,1.82357,92.9374,2.51871,-3.04916,5.56787,0.088484,16.25,-3.3483,3.43679,1.3,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,85,49.0,0.7755102040816326,0.20408163265306123,0.02040816326530612,0.631578947368421,2.8517694242474896,3.061062372536492,-0.48126063183763435,1.650708725997303,pid,,70789.0,Rick Issanza,Loyola Marymount,28,10,23,4,6,2,0,1,0,21,3,19
Steele Venters,Gonzaga,WCC,27,28.9,112.9,15.2,54.4,55.97,1.4,7.9,10.0,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,0.799498,107.735,3.3,"Ellensburg, WA",,1.64707745,6.0,8.0,2.0,8.0,0.75,0.25,2.0,2.0,1.0,97.7097,94.5864,2.06975,71.0297,3.56885,1.5984,1.97046,2.9677,15.063,0.283299,2.6844,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.7356,79,114.0,0.07017543859649122,0.07017543859649122,0.8596491228070176,0.25,-0.8567758269818698,-0.5819998909843818,1.244487201080076,0.7441676366131227,pid,,70941.0,Steele Venters,Gonzaga,6,2,1,2,6,0,36,62,34,2,0,1
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,2.41876,115.17,2.4,"Oklahoma City, OK",,1.17810805,35.0,80.0,81.0,186.0,0.4375,0.4355,0.0,0.0,,115.665,117.861,1.75098,119.881,-3.82742,-0.303108,-3.52431,-1.05387,30.2031,1.27409,-2.32796,0.3125,1.6562,1.9688,2.6875,0.9062,0.125,16.75,Scoring PG,8.4363,72,393.0,0.2035623409669211,0.4732824427480916,0.3231552162849873,0.0,-0.4146855643025572,-1.1558461559987063,0.23647183976911829,-0.2451589678018395,pid,,70961.0,Micah Thomas,Northwestern St.,35,45,6,81,105,17,46,81,28,0,0,0
