class_year,source,rank,player,issue,nearest_other_source_player,nearest_other_source_rank,source_url
2023,247,17,Rob Dillingham,247 Composite top 50 missing from Rivals Industry cache,Robert Dillingham,16,https://247sports.com/season/2023-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2023,247,39,Berke Buyuktuncel,247 Composite top 50 missing from Rivals Industry cache,Layden Blocker,45,https://247sports.com/season/2023-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2023,247,47,Solomon Ball,247 Composite top 50 missing from Rivals Industry cache,Brandon Williams,89,https://247sports.com/season/2023-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2023,rivals_industry,16,Robert Dillingham,Rivals Industry top 50 missing from 247 Composite cache,Rob Dillingham,17,https://www.on3.com/rivals/rankings/industry-player/basketball/2023/
2023,rivals_industry,46,Solo Ball,Rivals Industry top 50 missing from 247 Composite cache,Caleb Foster,20,https://www.on3.com/rivals/rankings/industry-player/basketball/2023/
2025,247,19,Nikolas Khamenia,247 Composite top 50 missing from Rivals Industry cache,Simon Walker,117,https://247sports.com/season/2025-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2025,247,45,Jacob Wilkins,247 Composite top 50 missing from Rivals Industry cache,Caleb Wilson,5,https://247sports.com/season/2025-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2025,247,50,Neoklis Avdalas,247 Composite top 50 missing from Rivals Industry cache,Jamarion Davis-Fleming,96,https://247sports.com/season/2025-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2025,rivals_industry,16,Nik Khamenia,Rivals Industry top 50 missing from 247 Composite cache,Nikolas Khamenia,19,https://www.on3.com/rivals/rankings/industry-player/basketball/2025/
2025,rivals_industry,45,Jake Wilkins,Rivals Industry top 50 missing from 247 Composite cache,Sebastian Wilkins,35,https://www.on3.com/rivals/rankings/industry-player/basketball/2025/
2026,247,4,Cameron Williams,247 Composite top 50 missing from Rivals Industry cache,Cameron Holmes,40,https://247sports.com/season/2026-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2026,247,22,Taylen Kinney,247 Composite top 50 missing from Rivals Industry cache,Tobias Brinkley,281,https://247sports.com/season/2026-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2026,247,40,Davion Thompson,247 Composite top 50 missing from Rivals Industry cache,Jordan Smith Jr.,3,https://247sports.com/season/2026-basketball/compositerecruitrankings/?InstitutionGroup=HighSchool
2026,rivals_industry,5,Cam Williams,Rivals Industry top 50 missing from 247 Composite cache,Cameron Williams,4,https://www.on3.com/rivals/rankings/industry-player/basketball/2026/
2026,rivals_industry,23,Tay Kinney,Rivals Industry top 50 missing from 247 Composite cache,Taylen Kinney,22,https://www.on3.com/rivals/rankings/industry-player/basketball/2026/
